Year,Occupation,Category,Occupation,Employment
2014,Management,Chief Executives,7,130
2014,Management,General and Operations Managers,52,570
2014,Management,Legislators,880
2014,Management,Advertising and Promotions Managers,**
2014,Management,Marketing Managers,4,460
2014,Management,Sales Managers,8,860
2014,Management,Public Relations and Fundraising Managers,1,150
2014,Management,Administrative Services Managers,7,290
2014,Management,Computer and Information Systems Managers,8,980
2014,Management,Financial Managers,11,160
2014,Management,Industrial Production Managers,1,930
2014,Management,Purchasing Managers,1,310
2014,Management,Transportation, Storage, and Distribution Managers,2,510
2014,Management,Compensation and Benefits Managers,360
2014,Management,Human Resources Managers,2,960
2014,Management,Training and Development Managers,830
2014,Management,Construction Managers,3,000
2014,Management,Education Administrators, Preschool and Childcare Center/Program,920
2014,Management,Education Administrators, Elementary and Secondary School,4,050
2014,Management,Education Administrators, Postsecondary,1,830
2014,Management,Education Administrators, All Other,450
2014,Management,Architectural and Engineering Managers,3,100
2014,Management,Food Service Managers,4,750
2014,Management,Funeral Service Managers,120
2014,Management,Lodging Managers,520
2014,Management,Medical and Health Services Managers,3,450
2014,Management,Natural Sciences Managers,770
2014,Management,Postmasters and Mail Superintendents,120
2014,Management,Property, Real Estate, and Community Association Managers,4,600
2014,Management,Social and Community Service Managers,1,000
2014,Management,Emergency Management Directors,120
2014,Management,Managers, All Other,6,580
2014,Business and Finance,Agents and Business Managers of Artists, Performers, and Athletes,260
2014,Business and Finance,Buyers and Purchasing Agents, Farm Products,440
2014,Business and Finance,Wholesale and Retail Buyers, Except Farm Products,1,520
2014,Business and Finance,Purchasing Agents, Except Wholesale, Retail, and Farm Products,4,720
2014,Business and Finance,Claims Adjusters, Examiners, and Investigators,6,490
2014,Business and Finance,Insurance Appraisers, Auto Damage,290
2014,Business and Finance,Compliance Officers,4,230
2014,Business and Finance,Cost Estimators,3,600
2014,Business and Finance,Human Resources Specialists,10,430
2014,Business and Finance,Labor Relations Specialists,510
2014,Business and Finance,Logisticians,1,720
2014,Business and Finance,Management Analysts,19,310
2014,Business and Finance,Meeting, Convention, and Event Planners,1,620
2014,Business and Finance,Fundraisers,410
2014,Business and Finance,Compensation, Benefits, and Job Analysis Specialists,1,800
2014,Business and Finance,Training and Development Specialists,6,410
2014,Business and Finance,Market Research Analysts and Marketing Specialists,12,410
2014,Business and Finance,Business Operations Specialists, All Other,22,910
2014,Business and Finance,Accountants and Auditors,27,070
2014,Business and Finance,Appraisers and Assessors of Real Estate,1,280
2014,Business and Finance,Budget Analysts,1,160
2014,Business and Finance,Credit Analysts,1,450
2014,Business and Finance,Financial Analysts,5,790
2014,Business and Finance,Personal Financial Advisors,4,690
2014,Business and Finance,Insurance Underwriters,4,540
2014,Business and Finance,Financial Examiners,680
2014,Business and Finance,Credit Counselors,100
2014,Business and Finance,Loan Officers,5,180
2014,Business and Finance,Tax Examiners and Collectors, and Revenue Agents,1,620
2014,Business and Finance,Tax Preparers,2,350
2014,Business and Finance,Financial Specialists, All Other,2,620
