Year,Total Population,Age Under 5,Age 5-9,Age 10-29,Age 30-44,Age 45-64,Age 65+,White,Black,Asian,Hispanic,Other Race
2000,4228492,318681,323592,1254397,1131701,879385,320736,2549265,1196580,139951,295626,47070
2010,5260436,382323,395034,1485953,1217452,1314348,465326,2634352,1664358,254860,590038,116828
