FIPSSTCO,ct00,STFID,HH_16,TotalPop16,Emp_16,Cons_16,Manu_16,TCU_16,Whol_16,Retail_16,FIRE_16,Serv_16,Govt_16,HH_20,TotalPop20,Emp_20,Cons_20,Manu_20,TCU_20,Whol_20,Retail_20,FIRE_20,Serv_20,Govt_20,HH_24,TotalPop24,Emp_24,Cons_24,Manu_24,TCU_24,Whol_24,Retail_24,FIRE_24,Serv_24,Govt_24,HH_25,TotalPop25,Emp_25,Cons_25,Manu_25,TCU_25,Whol_25,Retail_25,FIRE_25,Serv_25,Govt_25,HH_30,TotalPop30,Emp_30,Cons_30,Manu_30,TCU_30,Whol_30,Retail_30,FIRE_30,Serv_30,Govt_30,HH_40,TotalPop40,Emp_40,Cons_40,Manu_40,TCU_40,Whol_40,Retail_40,FIRE_40,Serv_40,Govt_40,GlobalID,last_edite,Shape_Leng,Shape_Area
13045,9910,13045991000,2873,9008,4089,107,1386,2,23,595,318,1615,43,3140,9664,4492,119,1388,2,23,626,366,1911,57,3534,10542,4850,126,1391,2,23,651,405,2182,70,3624,10746,4944,128,1397,2,23,657,413,2251,73,4065,11771,5489,135,1455,2,23,699,468,2619,88,4626,12843,6679,151,1654,2,23,813,588,3330,118,,,103844.23451312,552030843.643474
13045,9911,13045991100,3580,8801,9814,87,45,732,88,2108,289,5956,509,3835,9282,10274,99,45,743,88,2131,303,6291,574,4047,9719,10691,104,45,751,85,2151,320,6605,630,4093,9806,10794,105,45,753,84,2155,322,6686,644,4312,10250,11406,111,45,765,80,2187,338,7165,715,4821,11186,12847,124,45,789,70,2278,377,8309,855,,,127563.718014462,562227798.823947
13045,9912,13045991200,2814,6861,1362,61,809,4,13,130,30,265,50,3162,7658,1425,70,810,4,13,135,38,289,66,3510,8474,1489,75,812,5,13,141,46,318,79,3591,8647,1503,76,815,5,13,142,47,323,82,3975,9507,1597,81,848,5,13,150,53,349,98,4689,11036,1857,93,961,5,13,174,69,411,131,,,202484.725908641,1825372492.68914
13057,901,13057090100,3861,10262,1712,262,550,83,147,72,79,479,40,4493,11861,1873,274,550,85,147,74,88,527,128,5150,13534,2019,282,552,88,141,79,98,579,200,5310,13939,2047,283,552,88,139,79,99,589,218,6082,15903,2218,290,563,89,131,80,107,645,313,7632,19773,2593,306,605,93,111,86,131,762,499,,,250567.598952919,1931461363.619
13057,902,13057090200,3552,8901,862,105,16,23,10,49,12,635,12,4193,10389,943,126,16,23,10,55,17,676,20,4740,11693,1024,137,16,23,10,64,24,723,27,4876,12012,1036,139,16,23,10,64,24,732,28,5487,13442,1114,149,16,23,10,70,27,784,35,6385,15487,1304,172,16,23,10,92,33,908,50,,,253844.05869556,2390935508.58906
13057,903,13057090300,5113,13820,809,119,6,12,14,104,73,481,0,5838,15708,891,162,6,12,14,122,83,492,0,6790,18149,950,182,6,12,14,138,92,506,0,7023,18756,965,186,6,12,14,143,95,509,0,8129,21601,1045,214,6,12,14,173,106,520,0,9771,25573,1241,269,6,12,14,258,133,549,0,,,204818.448001413,1299234557.5018
13057,904,13057090400,3898,10212,6853,236,129,191,295,2621,351,3023,7,4290,11039,7534,298,130,193,293,2814,389,3400,17,4722,11934,8053,331,132,193,283,2948,419,3721,26,4826,12156,8193,335,135,194,281,2988,426,3806,28,5333,13257,9054,375,167,194,269,3259,469,4283,38,6882,16749,11031,457,278,197,240,3936,562,5302,59,,,160760.733851246,497944118.41232
13057,905.01,13057090501,2363,6146,782,114,83,15,20,72,106,372,0,2495,6461,932,154,84,16,20,82,133,443,0,2790,7229,1052,173,85,17,20,91,160,505,1,2852,7380,1077,178,85,17,20,93,166,517,1,3152,8121,1221,202,90,18,20,107,196,587,1,3836,9822,1534,253,109,21,20,147,268,715,1,,,193156.917450926,1038795053.10194
13057,905.02,13057090502,5592,14956,2556,183,93,441,18,422,183,1203,13,6559,17490,2912,219,93,513,18,448,222,1383,16,7608,20247,3198,238,93,566,18,469,253,1542,19,7865,20915,3265,242,93,581,18,474,259,1579,19,9127,24225,3666,262,95,676,18,511,299,1783,22,11787,31183,4491,308,100,851,18,613,387,2186,28,,,132647.428663991,874896218.783459
13057,906.01,13057090601,2728,9423,3568,221,44,7,127,1599,402,1127,41,3050,10257,4371,272,44,7,127,1862,497,1435,127,3468,11227,4990,298,45,7,121,2051,569,1699,200,3571,11485,5158,305,46,7,119,2111,587,1766,217,4049,12691,6181,336,57,6,111,2523,696,2142,310,5077,15198,8540,402,95,5,91,3615,922,2915,495,,,81037.7827691494,236117860.861567
