GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_Fo,Foreign_Bo,Percent_U_,U_S__Nativ,GlobalID,Pop_Chg_pe,Pct_ForBor,ForeignBor,Pct_ForBo2,ForBorn_Na,Pct_US_Nat,US_Native_,Pct_USnati,USnative_B,Pct_USnat2,USnative_2,Shape_Leng,Shape_Area
13151070107,701.07,ARC 10,,,SDE,2015/05/21 16:55:07,6.4,455,93.6,6650,,136.8,35.2,160,64.8,295,34.5,2453,57.1,4054,91.6,6507,66284.9371251752,236152422.564913
13151070109,701.09,ARC 10,,,SDE,2015/05/21 16:55:07,2.7,84,97.3,3081,,102.7,46.4,39,53.6,45,43.9,1389,52.1,1650,96,3039,45986.0975703014,92796345.9933729
13151070110,701.10,ARC 10,,,SDE,2015/05/21 16:55:07,10.2,776,89.8,6828,,108.4,18.7,145,81.3,631,39.2,2977,49.4,3760,88.6,6737,79198.2740407109,289385650.042818
13151070108,701.08,ARC 10,,,SDE,2015/05/21 16:55:07,4.1,190,95.9,4461,,337.6,17.9,34,82.1,156,28.8,1338,63.3,2945,92.1,4283,64899.4670874266,137094155.059936
13151070306,703.06,ARC 10,,,SDE,2015/05/21 16:55:07,9.5,910,90.5,8644,,461.8,69.6,633,30.4,277,44.8,4276,44.4,4238,89.1,8514,92638.3333241166,387814173.296134
13151070104,701.04,ARC 10,,,SDE,2015/05/21 16:55:07,13.9,1707,86.1,10588,,718.3,17.3,295,82.7,1412,40.3,4953,45.2,5555,85.5,10508,84935.9260351564,261995193.1426
13151070202,702.02,ARC 10,,,SDE,2015/05/21 16:55:07,4.2,458,95.8,10517,,256.4,34.9,160,65.1,298,31.2,3419,63.1,6921,94.2,10340,128127.310512952,595840497.880787
13151070305,703.05,ARC 10,,,SDE,2015/05/21 16:55:07,7.9,705,92.1,8259,,180.5,30.4,214,69.6,491,39.3,3519,51.2,4589,90.5,8108,87097.929250796,439589876.525746
13151070304,703.04,ARC 10,,,SDE,2015/05/21 16:55:07,5.8,687,94.2,11068,,533.3,60.7,417,39.3,270,30,3529,63,7409,93,10938,96317.3736662348,327602351.358724
13151070106,701.06,ARC 10,,,SDE,2015/05/21 16:55:07,3.7,200,96.3,5216,,120,31.5,63,68.5,137,29.8,1614,65.7,3557,95.5,5171,75003.0911736002,178581833.59519
13151070203,702.03,ARC 10,,,SDE,2015/05/21 16:55:07,4.7,704,95.3,14226,,223.8,26.8,189,73.2,515,36.4,5440,58.3,8702,94.7,14142,167830.854986734,995126676.11689
13151070402,704.02,ARC 10,,,SDE,2015/05/21 16:55:07,1.9,241,98.1,12664,,158.9,25.3,61,74.7,180,28.6,3691,68.2,8804,96.8,12495,174937.328009589,1025649357.66926
13015960101,9601.01,ARC 20,,,SDE,2015/05/21 16:55:07,1.9,31,98.1,1626,,12.2,83.9,26,16.1,5,29.3,486,68.8,1140,98.1,1626,163293.724554807,1005186210.68307
13015960402,9604.02,ARC 20,,,SDE,2015/05/21 16:55:07,3.9,340,96.1,8432,,154.4,67.6,230,32.4,110,31.3,2745,63.6,5577,94.9,8322,167130.81861858,558549135.461783
13015960901,9609.01,ARC 20,,,SDE,2015/05/21 16:55:07,4.4,128,95.6,2811,,6,85.2,109,14.8,19,38.8,1139,56.9,1672,95.6,2811,121278.298983443,367706005.236917
13015960102,9601.02,ARC 20,,,SDE,2015/05/21 16:55:07,1.2,115,98.8,9513,,24.6,24.3,28,75.7,87,31.3,3016,66.7,6425,98.1,9441,281509.615139551,2372621413.12606
